kode_pos,desa,kode,kecamatan,dt2,kota,provinsi
23652,Alue Bagok,11.05.07.2002,Arongan Lambalek,Kabupaten,Aceh Barat,Aceh (NAD)
23651,Alue Bakong,11.05.06.2002,Bubon,Kabupaten,Aceh Barat,Aceh (NAD)
23652,Alue Batee,11.05.07.2004,Arongan Lambalek,Kabupaten,Aceh Barat,Aceh (NAD)
23683,Alue Bilie,11.05.11.2010,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
23654,Alue Blang,11.05.04.2020,Woyla,Kabupaten,Aceh Barat,Aceh (NAD)
23683,Alue Eumpeuk (Alue Empeuk),11.05.11.2009,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
23680,Alue Keumang,11.05.08.2005,Pante Ceureumen (Pantai Ceuremen),Kabupaten,Aceh Barat,Aceh (NAD)
23682,Alue Keumuning (Alue Keumuneng),11.05.10.2023,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
23683,Alue Kuyun (Alue Kuyuen),11.05.11.2013,Woyla Timur,Kabupaten,Aceh Barat,Aceh (NAD)
23682,Alue Leuhop (Alue Leuhob),11.05.10.2008,Woyla Barat,Kabupaten,Aceh Barat,Aceh (NAD)
